order_id,product_id,category,price,return_reason,return_days,condition,customer_type,resolution
ORD100037,PID3979,Sports,134.85,Changed mind,16,Used,Prime,Replacement
ORD100038,PID2559,Clothing,245.97,Size too small,15,Unopened,Prime,Replacement
ORD100039,PID2248,Electronics,167.19,Size too small,13,Used,Non-Prime,Replacement
ORD100040,PID1662,Home,192.99,Item damaged,20,Unopened,Non-Prime,Replacement
ORD100041,PID4675,Clothing,317.93,Size too small,25,Unopened,Prime,Replacement
ORD100042,PID4754,Beauty,447.55,Size too small,26,Unopened,Prime,Refund
ORD100043,PID6599,Sports,58.21,Arrived late,3,Damaged,Non-Prime,Refund
ORD100044,PID6617,Clothing,221.82,Missing parts,23,Damaged,Prime,Replacement
ORD100045,PID7692,Home,45.13,Item damaged,26,Damaged,Prime,Refund
ORD100046,PID4178,Sports,298.74,Missing parts,28,Used,Prime,Replacement
ORD100047,PID8508,Sports,487.57,Item damaged,15,Used,Prime,Refund
ORD100048,PID8478,Electronics,451.84,No longer needed,14,Damaged,Prime,Replacement
ORD100049,PID3499,Home,449.79,Arrived late,14,Opened,Non-Prime,Replacement
ORD100050,PID4912,Beauty,101.21,Better price available,14,Damaged,Non-Prime,Refund
ORD100051,PID2150,Home,259.86,Wrong item received,20,Opened,Non-Prime,Replacement
ORD100052,PID7813,Clothing,363.66,No longer needed,2,Unopened,Non-Prime,Refund
ORD100053,PID5352,Home,155.63,Quality not good,17,Used,Prime,Replacement
ORD100054,PID4921,Electronics,82.9,Missing parts,26,Used,Prime,Replacement
ORD100055,PID9874,Clothing,80.57,Item damaged,22,Used,Prime,Replacement
ORD100056,PID2036,Sports,398.65,Defective product,7,Opened,Prime,Refund
ORD100057,PID4754,Beauty,210.88,Arrived late,18,Unopened,Non-Prime,Replacement
ORD100058,PID3317,Clothing,400.69,Changed mind,7,Damaged,Non-Prime,Replacement
ORD100059,PID3987,Clothing,366.25,Arrived late,8,Opened,Prime,Replacement
ORD100060,PID2362,Clothing,464.42,No longer needed,5,Used,Non-Prime,Replacement
ORD100061,PID3155,Electronics,223.2,Better price available,23,Used,Non-Prime,Refund
ORD100062,PID6945,Electronics,150.73,Defective product,27,Opened,Prime,Refund
ORD100063,PID3688,Clothing,373.44,Arrived late,8,Used,Prime,Refund
ORD100064,PID4179,Home,266.25,No longer needed,10,Opened,Non-Prime,Replacement
ORD100065,PID3909,Sports,463.49,Item damaged,10,Unopened,Non-Prime,Replacement
ORD100066,PID5468,Clothing,245.34,No longer needed,10,Used,Prime,Replacement
ORD100067,PID6858,Sports,220.16,Defective product,29,Damaged,Prime,Refund
ORD100068,PID1695,Sports,223.43,Quality not good,12,Damaged,Non-Prime,Refund
ORD100069,PID2296,Beauty,254.82,Not as described,8,Used,Non-Prime,Refund
ORD100070,PID4278,Electronics,410.39,Item damaged,25,Used,Prime,Replacement
ORD100071,PID7691,Electronics,298.46,Not as described,17,Damaged,Non-Prime,Refund
ORD100072,PID6031,Beauty,293.68,Item damaged,8,Used,Non-Prime,Refund
ORD100073,PID7433,Beauty,311.63,No longer needed,1,Used,Non-Prime,Replacement
ORD100074,PID7530,Home,267.06,Quality not good,26,Unopened,Non-Prime,Replacement
ORD100075,PID4196,Clothing,284.51,Size too small,24,Damaged,Prime,Refund
ORD100076,PID9741,Beauty,318.97,Arrived late,14,Unopened,Prime,Replacement
ORD100077,PID1799,Electronics,394.77,Item damaged,12,Damaged,Non-Prime,Refund
ORD100078,PID7230,Sports,248.58,Missing parts,3,Opened,Non-Prime,Replacement
ORD100079,PID5459,Electronics,292.52,Better price available,30,Opened,Non-Prime,Replacement
ORD100080,PID4450,Sports,465.09,Quality not good,21,Damaged,Non-Prime,Replacement
ORD100081,PID3897,Sports,127.63,Changed mind,21,Used,Non-Prime,Replacement
ORD100082,PID6667,Beauty,240.13,Size too small,5,Used,Non-Prime,Refund
ORD100083,PID6162,Home,444.76,Not as described,4,Damaged,Prime,Refund
ORD100084,PID2498,Electronics,160.57,Not as described,28,Used,Prime,Replacement
ORD100085,PID8184,Beauty,88.69,Missing parts,15,Damaged,Non-Prime,Refund
ORD100086,PID4201,Beauty,331.24,Item damaged,16,Damaged,Prime,Replacement
ORD100087,PID5200,Clothing,340.06,Wrong item received,29,Unopened,Prime,Replacement
ORD100088,PID8364,Clothing,443.28,No longer needed,15,Damaged,Non-Prime,Replacement
ORD100089,PID8588,Beauty,115.43,Wrong item received,26,Opened,Prime,Replacement
ORD100090,PID6148,Sports,275.91,Defective product,23,Unopened,Non-Prime,Refund
ORD100091,PID7548,Clothing,263.35,Item damaged,2,Opened,Prime,Refund
ORD100092,PID6601,Sports,44.57,Changed mind,15,Used,Prime,Replacement
ORD100093,PID4894,Sports,241.93,Item damaged,14,Opened,Prime,Refund
ORD100094,PID3991,Home,228.79,Not as described,13,Opened,Non-Prime,Replacement
ORD100095,PID3315,Beauty,425.15,Changed mind,8,Opened,Non-Prime,Replacement
ORD100096,PID8374,Home,194.26,Quality not good,28,Damaged,Prime,Replacement
ORD100097,PID1153,Sports,140.25,Missing parts,18,Used,Non-Prime,Refund
ORD100098,PID8961,Beauty,55.48,Size too large,16,Opened,Prime,Refund
ORD100099,PID6504,Sports,291.69,Size too small,18,Opened,Non-Prime,Replacement
ORD100100,PID2596,Clothing,365.92,Not as described,21,Unopened,Non-Prime,Refund
ORD100101,PID1480,Sports,201.43,Missing parts,18,Unopened,Non-Prime,Refund
ORD100102,PID9359,Home,476.46,Arrived late,23,Used,Prime,Replacement
ORD100103,PID4562,Sports,336.37,Defective product,20,Used,Non-Prime,Refund
ORD100104,PID3127,Beauty,348.09,No longer needed,18,Damaged,Non-Prime,Refund
ORD100105,PID1106,Clothing,283.02,Changed mind,23,Opened,Prime,Replacement
ORD100106,PID5173,Sports,127.65,Item damaged,24,Opened,Prime,Replacement
ORD100107,PID4573,Electronics,179.91,Changed mind,15,Used,Prime,Replacement
ORD100108,PID6219,Electronics,391.24,Changed mind,18,Damaged,Prime,Replacement
ORD100109,PID6958,Electronics,430.81,Missing parts,11,Used,Non-Prime,Refund
ORD100110,PID5236,Electronics,437.05,Wrong item received,4,Used,Prime,Refund
ORD100111,PID4188,Beauty,480.14,Item damaged,19,Used,Non-Prime,Replacement
ORD100112,PID9860,Beauty,326.57,Changed mind,20,Unopened,Non-Prime,Replacement
ORD100113,PID6919,Electronics,27.52,Size too large,3,Unopened,Non-Prime,Replacement
ORD100114,PID2299,Electronics,15.27,Missing parts,24,Opened,Prime,Replacement
ORD100115,PID5170,Home,288.25,Size too large,20,Used,Non-Prime,Refund
ORD100116,PID5003,Beauty,73.17,Defective product,1,Opened,Non-Prime,Replacement
ORD100117,PID7743,Sports,103.92,Quality not good,3,Unopened,Prime,Replacement
ORD100118,PID6810,Electronics,362.65,Item damaged,2,Damaged,Non-Prime,Refund
ORD100119,PID4467,Beauty,353.24,Better price available,10,Used,Prime,Replacement
ORD100120,PID2822,Sports,360.34,Arrived late,16,Unopened,Prime,Replacement
ORD100121,PID7608,Beauty,177.83,Arrived late,29,Used,Prime,Replacement
ORD100122,PID1205,Sports,203.93,Wrong item received,17,Damaged,Prime,Refund
ORD100123,PID9419,Beauty,472.35,Not as described,24,Opened,Prime,Replacement
ORD100124,PID7217,Clothing,130.3,Defective product,23,Opened,Prime,Refund
ORD100125,PID4744,Home,276.18,Item damaged,4,Unopened,Prime,Replacement
ORD100126,PID4365,Clothing,181.54,Wrong item received,6,Unopened,Prime,Refund
ORD100127,PID6931,Clothing,25.81,Wrong item received,17,Damaged,Prime,Replacement
ORD100128,PID5474,Home,483.9,Defective product,25,Unopened,Prime,Replacement
ORD100129,PID8946,Home,287.89,Changed mind,16,Used,Prime,Replacement
ORD100130,PID4181,Sports,112.25,Item damaged,8,Damaged,Non-Prime,Replacement
ORD100131,PID5990,Sports,370.99,Size too large,15,Unopened,Non-Prime,Refund
ORD100132,PID4610,Home,209.55,Not as described,16,Damaged,Prime,Refund
ORD100133,PID9989,Electronics,369.56,Quality not good,22,Used,Prime,Replacement
ORD100134,PID3778,Electronics,391.79,No longer needed,23,Unopened,Non-Prime,Replacement
ORD100135,PID7649,Home,98.75,Wrong item received,12,Damaged,Non-Prime,Refund
ORD100136,PID4450,Sports,485.39,Item damaged,26,Used,Non-Prime,Replacement
ORD100137,PID1433,Sports,421.01,Defective product,21,Damaged,Non-Prime,Refund
ORD100138,PID3073,Sports,23.72,Arrived late,5,Opened,Prime,Refund
ORD100139,PID4736,Clothing,195.52,Better price available,1,Used,Prime,Refund
ORD100140,PID1229,Home,176.2,Size too large,13,Opened,Non-Prime,Refund
ORD100141,PID6798,Home,277.18,Size too large,5,Damaged,Prime,Refund
ORD100142,PID9837,Home,239.95,No longer needed,30,Damaged,Prime,Refund
ORD100143,PID6097,Sports,369.72,Item damaged,24,Unopened,Non-Prime,Replacement
ORD100144,PID6076,Electronics,438.45,Wrong item received,15,Used,Non-Prime,Replacement
ORD100145,PID7085,Home,54.49,Size too small,4,Unopened,Prime,Replacement
ORD100146,PID4642,Beauty,83.59,Not as described,1,Damaged,Non-Prime,Replacement
ORD100147,PID9102,Beauty,424.36,Item damaged,26,Damaged,Prime,Replacement
ORD100148,PID5022,Sports,364.65,Item damaged,22,Used,Non-Prime,Refund
ORD100149,PID3854,Sports,36.27,Defective product,20,Opened,Prime,Refund
ORD100150,PID7992,Electronics,210.42,Better price available,12,Used,Non-Prime,Refund
ORD100151,PID7885,Clothing,34.68,Better price available,18,Unopened,Prime,Refund
ORD100152,PID3216,Clothing,89.76,Defective product,14,Opened,Non-Prime,Refund
ORD100153,PID3004,Electronics,427.96,Defective product,7,Unopened,Non-Prime,Refund
ORD100154,PID2722,Home,317.77,Size too small,11,Opened,Prime,Refund
ORD100155,PID1664,Sports,33.96,Arrived late,4,Used,Prime,Replacement
ORD100156,PID2768,Clothing,72.95,Missing parts,14,Damaged,Non-Prime,Replacement
ORD100157,PID4655,Beauty,371.28,Item damaged,6,Used,Prime,Replacement
ORD100158,PID6878,Clothing,167.8,Size too large,25,Opened,Prime,Replacement
ORD100159,PID2458,Sports,313.96,Missing parts,7,Used,Non-Prime,Replacement
ORD100160,PID2340,Clothing,334.47,Size too large,19,Damaged,Prime,Replacement
ORD100161,PID7655,Beauty,337.27,Quality not good,26,Used,Prime,Replacement
ORD100162,PID4992,Sports,148.9,Item damaged,30,Opened,Prime,Refund
ORD100163,PID5176,Sports,363.8,Defective product,14,Used,Non-Prime,Replacement
ORD100164,PID6012,Clothing,326.11,Size too large,10,Used,Non-Prime,Refund
ORD100165,PID9452,Sports,64.79,Size too large,10,Used,Non-Prime,Refund
ORD100166,PID3623,Sports,236.49,Quality not good,27,Unopened,Non-Prime,Replacement
ORD100167,PID6612,Beauty,113.03,Missing parts,2,Damaged,Non-Prime,Refund
ORD100168,PID9094,Clothing,300.28,Missing parts,26,Unopened,Prime,Replacement
ORD100169,PID8101,Home,300.75,Better price available,22,Damaged,Non-Prime,Refund
ORD100170,PID2853,Beauty,382.44,Missing parts,25,Unopened,Prime,Refund
ORD100171,PID2884,Beauty,474.55,Changed mind,29,Used,Non-Prime,Refund
ORD100172,PID6617,Sports,102.88,Changed mind,2,Used,Non-Prime,Replacement
ORD100173,PID5203,Beauty,315.23,Defective product,27,Used,Prime,Replacement
ORD100174,PID2280,Electronics,342.64,Item damaged,8,Damaged,Prime,Refund
ORD100175,PID9199,Sports,93.83,Defective product,4,Opened,Non-Prime,Replacement
ORD100176,PID1434,Clothing,448.98,Wrong item received,19,Opened,Prime,Replacement
ORD100177,PID1199,Home,167.01,Arrived late,18,Opened,Non-Prime,Refund
ORD100178,PID4786,Clothing,35.55,Wrong item received,2,Opened,Prime,Replacement
ORD100179,PID1110,Home,185.08,No longer needed,20,Unopened,Prime,Refund
ORD100180,PID3678,Electronics,114.08,Size too large,18,Damaged,Prime,Refund
ORD100181,PID3063,Clothing,262.45,Changed mind,12,Damaged,Prime,Replacement
ORD100182,PID8894,Electronics,166.59,Better price available,19,Unopened,Non-Prime,Refund
ORD100183,PID4355,Clothing,496.93,Changed mind,11,Damaged,Prime,Replacement
ORD100184,PID6080,Electronics,383.12,Changed mind,1,Used,Non-Prime,Replacement
ORD100185,PID6129,Home,316.75,Item damaged,9,Damaged,Non-Prime,Refund
ORD100186,PID4594,Sports,393.99,Not as described,7,Damaged,Prime,Refund
ORD100187,PID9683,Electronics,76.81,Better price available,22,Used,Non-Prime,Refund
ORD100188,PID1390,Clothing,306.81,Defective product,24,Used,Non-Prime,Replacement
ORD100189,PID4305,Home,400.93,Missing parts,5,Unopened,Prime,Refund
ORD100190,PID2192,Sports,180.38,Arrived late,26,Opened,Non-Prime,Replacement
ORD100191,PID3516,Sports,378.94,Defective product,28,Used,Non-Prime,Refund
ORD100192,PID2526,Clothing,497.27,Changed mind,5,Opened,Prime,Replacement
ORD100193,PID5294,Sports,13.63,Arrived late,10,Damaged,Non-Prime,Refund
ORD100194,PID4910,Home,303.5,Defective product,3,Damaged,Prime,Replacement
ORD100195,PID4220,Electronics,298.95,Wrong item received,11,Unopened,Non-Prime,Refund
ORD100196,PID3090,Electronics,19.53,Not as described,15,Unopened,Prime,Replacement
ORD100197,PID5564,Home,453.98,Missing parts,10,Damaged,Prime,Refund
ORD100198,PID1926,Beauty,462.25,Better price available,27,Used,Non-Prime,Refund
ORD100199,PID3125,Electronics,84.27,No longer needed,5,Unopened,Prime,Refund
ORD100200,PID7391,Electronics,124.85,Missing parts,5,Unopened,Prime,Refund
ORD100201,PID4681,Sports,233.01,Wrong item received,29,Opened,Prime,Refund
ORD100202,PID3407,Electronics,230.13,Size too small,8,Opened,Non-Prime,Replacement
ORD100203,PID3825,Beauty,95.58,Item damaged,28,Used,Prime,Refund
ORD100204,PID5201,Clothing,495.76,Better price available,18,Unopened,Prime,Replacement
ORD100205,PID8618,Beauty,388.87,Changed mind,23,Used,Prime,Replacement
ORD100206,PID4394,Clothing,30.45,Item damaged,4,Used,Non-Prime,Refund
ORD100207,PID6449,Sports,480.39,Defective product,3,Opened,Non-Prime,Refund
ORD100208,PID4372,Clothing,484.81,Size too small,25,Damaged,Prime,Replacement
ORD100209,PID5725,Beauty,489.06,Not as described,17,Unopened,Prime,Replacement
ORD100210,PID4252,Home,262.92,Not as described,13,Damaged,Non-Prime,Replacement
ORD100211,PID5701,Sports,111.33,Defective product,23,Unopened,Prime,Refund
ORD100212,PID6535,Electronics,318.64,Size too small,4,Opened,Non-Prime,Refund
ORD100213,PID1886,Clothing,227.77,Defective product,26,Damaged,Prime,Replacement
ORD100214,PID9687,Sports,36.99,Size too small,1,Used,Non-Prime,Refund
ORD100215,PID6673,Clothing,321.05,Arrived late,22,Used,Prime,Replacement
ORD100216,PID8242,Home,317.79,Size too large,17,Opened,Non-Prime,Replacement
ORD100217,PID3150,Electronics,242.78,Not as described,12,Used,Prime,Refund
ORD100218,PID6586,Sports,163.65,Wrong item received,25,Opened,Prime,Replacement
ORD100219,PID2793,Home,396.38,No longer needed,10,Used,Non-Prime,Replacement
ORD100220,PID9835,Electronics,299.79,Item damaged,14,Unopened,Prime,Replacement
ORD100221,PID3442,Beauty,49.63,Arrived late,6,Unopened,Prime,Replacement
ORD100222,PID3575,Sports,98.28,Defective product,17,Opened,Prime,Replacement
ORD100223,PID3981,Sports,196.59,Not as described,8,Opened,Prime,Refund
ORD100224,PID8119,Home,136.27,Not as described,11,Opened,Non-Prime,Replacement
ORD100225,PID1702,Sports,329.9,Better price available,3,Opened,Prime,Replacement
ORD100226,PID7110,Electronics,346.15,Item damaged,11,Opened,Prime,Replacement
ORD100227,PID6558,Clothing,38.06,Missing parts,5,Damaged,Non-Prime,Replacement
ORD100228,PID8040,Clothing,453.54,No longer needed,11,Opened,Prime,Replacement
ORD100229,PID8293,Beauty,61.32,Wrong item received,16,Damaged,Prime,Replacement
ORD100230,PID2124,Beauty,325.43,Item damaged,7,Unopened,Prime,Refund
ORD100231,PID7937,Sports,339.36,Arrived late,14,Used,Prime,Replacement
ORD100232,PID6534,Home,214.12,Defective product,21,Used,Prime,Refund
ORD100233,PID6032,Home,183.94,Wrong item received,30,Used,Non-Prime,Refund
ORD100234,PID5411,Home,166.74,Item damaged,16,Damaged,Prime,Refund
ORD100235,PID7818,Sports,273.77,Arrived late,15,Used,Non-Prime,Replacement
ORD100236,PID2201,Clothing,459.82,Wrong item received,26,Opened,Non-Prime,Refund
ORD100237,PID5098,Sports,108.88,Missing parts,18,Unopened,Prime,Replacement
ORD100238,PID6833,Electronics,366.9,Size too large,18,Unopened,Prime,Refund
ORD100239,PID1666,Clothing,365.39,Missing parts,24,Unopened,Non-Prime,Replacement
ORD100240,PID1424,Electronics,85.78,Quality not good,4,Used,Prime,Refund
ORD100241,PID8115,Home,498.32,Defective product,28,Opened,Prime,Replacement
ORD100242,PID8412,Beauty,213.76,Item damaged,14,Used,Prime,Replacement
ORD100243,PID5258,Clothing,401.04,Arrived late,5,Damaged,Prime,Replacement
ORD100244,PID1876,Beauty,202.15,Arrived late,4,Opened,Non-Prime,Refund
ORD100245,PID2090,Electronics,271.09,Defective product,6,Unopened,Prime,Replacement
ORD100246,PID6682,Electronics,238.84,Arrived late,14,Used,Prime,Replacement
ORD100247,PID6190,Beauty,139.4,Changed mind,30,Used,Non-Prime,Refund
ORD100248,PID9953,Electronics,223.72,Size too small,24,Unopened,Non-Prime,Refund
ORD100249,PID1988,Beauty,196.37,Item damaged,15,Unopened,Prime,Refund
ORD100250,PID9555,Electronics,303.48,Quality not good,6,Unopened,Non-Prime,Refund
ORD100251,PID7460,Clothing,168.12,Wrong item received,5,Damaged,Non-Prime,Replacement
ORD100252,PID4389,Sports,327.41,Item damaged,10,Opened,Prime,Replacement
ORD100253,PID2534,Electronics,450.64,Not as described,8,Unopened,Prime,Refund
ORD100254,PID9989,Electronics,239.3,Wrong item received,29,Unopened,Prime,Refund
ORD100255,PID2565,Sports,293.15,Wrong item received,6,Damaged,Prime,Replacement
ORD100256,PID5323,Home,386.08,Arrived late,18,Opened,Non-Prime,Replacement
ORD100257,PID9207,Sports,34.28,Quality not good,14,Unopened,Prime,Refund
ORD100258,PID5888,Beauty,455.8,Quality not good,27,Opened,Prime,Refund
ORD100259,PID9850,Electronics,301.95,Item damaged,15,Damaged,Non-Prime,Refund
ORD100260,PID4344,Home,262.1,Missing parts,4,Damaged,Prime,Refund
ORD100261,PID9484,Electronics,79.87,Quality not good,15,Damaged,Prime,Replacement
ORD100262,PID6907,Home,219.52,Better price available,4,Opened,Prime,Refund
ORD100263,PID4736,Sports,469.61,Better price available,1,Opened,Non-Prime,Replacement
ORD100264,PID3477,Clothing,427.92,Missing parts,7,Opened,Prime,Refund
ORD100265,PID4643,Beauty,163.76,Missing parts,12,Damaged,Prime,Replacement
ORD100266,PID8880,Sports,394.71,Better price available,21,Used,Prime,Replacement
ORD100267,PID2868,Electronics,282.54,Changed mind,1,Unopened,Prime,Replacement
ORD100268,PID7648,Sports,10.45,Better price available,29,Unopened,Prime,Replacement
ORD100269,PID5678,Beauty,235.11,Item damaged,28,Unopened,Non-Prime,Replacement
ORD100270,PID8392,Beauty,180.01,Wrong item received,25,Opened,Prime,Refund
ORD100271,PID1463,Sports,403.34,Wrong item received,22,Unopened,Non-Prime,Refund
ORD100272,PID6402,Clothing,428.39,Arrived late,16,Opened,Prime,Refund
ORD100273,PID4510,Clothing,493.04,No longer needed,16,Opened,Prime,Refund
ORD100274,PID2710,Home,77.01,Missing parts,15,Opened,Prime,Refund
ORD100275,PID5510,Electronics,489.41,Arrived late,15,Opened,Prime,Replacement
ORD100276,PID3112,Beauty,329.15,Arrived late,10,Used,Non-Prime,Replacement
ORD100277,PID1627,Sports,486.52,Defective product,29,Opened,Non-Prime,Refund
ORD100278,PID8877,Electronics,117.92,Better price available,12,Damaged,Non-Prime,Replacement
ORD100279,PID5910,Beauty,443.35,Changed mind,21,Damaged,Prime,Replacement
ORD100280,PID3823,Electronics,120.95,Defective product,18,Opened,Prime,Refund
ORD100281,PID5771,Home,84.03,Wrong item received,14,Opened,Prime,Replacement
ORD100282,PID3329,Sports,171.94,Better price available,28,Damaged,Non-Prime,Refund
ORD100283,PID1173,Sports,336.11,Arrived late,14,Unopened,Prime,Refund
ORD100284,PID5971,Home,365.23,Better price available,21,Opened,Prime,Refund
ORD100285,PID3973,Clothing,198.98,Better price available,5,Damaged,Non-Prime,Replacement
ORD100286,PID9028,Home,417.99,Size too small,10,Opened,Prime,Refund
ORD100287,PID9390,Clothing,78.43,Size too large,9,Used,Non-Prime,Refund
ORD100288,PID9217,Clothing,495.52,Quality not good,26,Unopened,Prime,Refund
ORD100289,PID1884,Electronics,423.89,Quality not good,14,Used,Non-Prime,Replacement
ORD100290,PID9823,Electronics,221.32,Size too large,14,Opened,Non-Prime,Replacement
ORD100291,PID7576,Home,75.11,Size too small,5,Used,Prime,Replacement
ORD100292,PID2098,Clothing,34.29,Changed mind,6,Used,Prime,Refund
ORD100293,PID5726,Clothing,332.7,Better price available,4,Opened,Prime,Refund
ORD100294,PID6406,Home,254.34,No longer needed,29,Used,Non-Prime,Refund
ORD100295,PID5925,Beauty,180.08,Changed mind,10,Unopened,Prime,Replacement
ORD100296,PID4890,Clothing,432.45,Defective product,9,Used,Prime,Refund
ORD100297,PID5147,Beauty,113.37,Wrong item received,15,Used,Prime,Replacement
ORD100298,PID8493,Home,53.97,Quality not good,7,Opened,Prime,Refund
ORD100299,PID2804,Sports,481.92,Size too large,9,Opened,Prime,Replacement
ORD100300,PID8340,Clothing,401.34,Size too small,17,Damaged,Prime,Replacement
ORD100301,PID3110,Beauty,363.4,Arrived late,5,Unopened,Prime,Refund
ORD100302,PID1361,Home,142.36,Defective product,11,Damaged,Non-Prime,Refund
ORD100303,PID7687,Clothing,106.84,Size too small,8,Opened,Prime,Replacement
ORD100304,PID7334,Home,422.74,Item damaged,2,Opened,Non-Prime,Replacement
ORD100305,PID1363,Electronics,399.1,Missing parts,26,Used,Non-Prime,Replacement
ORD100306,PID2066,Sports,119.66,Defective product,5,Unopened,Prime,Replacement
ORD100307,PID7007,Beauty,374.76,Quality not good,21,Opened,Non-Prime,Refund
ORD100308,PID2604,Home,59.32,Arrived late,26,Unopened,Prime,Replacement
ORD100309,PID1182,Sports,497.3,Better price available,12,Damaged,Non-Prime,Refund
ORD100310,PID5293,Sports,340.13,No longer needed,25,Unopened,Non-Prime,Refund
ORD100311,PID3991,Sports,235.04,Not as described,6,Used,Prime,Refund
ORD100312,PID3965,Electronics,176.97,Missing parts,30,Unopened,Non-Prime,Replacement
ORD100313,PID3248,Home,181.14,Not as described,6,Used,Prime,Replacement
ORD100314,PID6635,Electronics,478.59,Arrived late,4,Used,Prime,Refund
ORD100315,PID7643,Clothing,340.54,Changed mind,14,Damaged,Non-Prime,Refund
ORD100316,PID2414,Home,359.99,Size too large,12,Opened,Prime,Refund
ORD100317,PID1755,Electronics,219.29,Item damaged,26,Opened,Non-Prime,Refund
ORD100318,PID8893,Beauty,355.72,Defective product,16,Opened,Non-Prime,Refund
ORD100319,PID1964,Sports,160.32,No longer needed,8,Damaged,Non-Prime,Refund
ORD100320,PID8393,Electronics,36.32,Size too large,2,Damaged,Non-Prime,Replacement
ORD100321,PID3478,Sports,330.92,No longer needed,30,Opened,Non-Prime,Replacement
ORD100322,PID1942,Sports,132.65,Item damaged,14,Opened,Prime,Replacement
ORD100323,PID2853,Clothing,419.97,Size too large,19,Unopened,Non-Prime,Replacement
ORD100324,PID5141,Home,68.49,Arrived late,18,Damaged,Prime,Replacement
ORD100325,PID4063,Beauty,110.97,Size too large,8,Used,Non-Prime,Replacement
ORD100326,PID4731,Beauty,465.56,Quality not good,2,Used,Non-Prime,Refund
ORD100327,PID4268,Home,490.8,Item damaged,1,Opened,Prime,Replacement
ORD100328,PID4697,Home,315.3,Wrong item received,30,Used,Non-Prime,Replacement
ORD100329,PID4313,Electronics,197.98,Missing parts,23,Used,Prime,Refund
ORD100330,PID2991,Sports,178.39,Wrong item received,9,Unopened,Prime,Refund
ORD100331,PID2428,Electronics,241.14,Wrong item received,10,Unopened,Non-Prime,Refund
ORD100332,PID1535,Sports,100.34,No longer needed,12,Used,Prime,Refund
ORD100333,PID6628,Beauty,203.42,Changed mind,21,Unopened,Non-Prime,Refund
ORD100334,PID5657,Sports,113.76,Quality not good,28,Opened,Non-Prime,Replacement
ORD100335,PID7686,Electronics,283.0,Changed mind,26,Opened,Prime,Refund
ORD100336,PID9730,Electronics,402.79,Wrong item received,10,Used,Prime,Refund
ORD100337,PID3780,Clothing,65.91,Better price available,18,Opened,Prime,Replacement
ORD100338,PID3173,Electronics,298.81,Arrived late,26,Opened,Prime,Refund
