qc_id,warehouse_id,product_id,category,inspection_date,defect_type,defect_severity,quantity_checked,quantity_defective,qc_status,flagged_for_review,inspector_level
QC10059,WH-512,PID8962,Electronics,2025-09-26,Packaging Damage,Low,17,0,Pass,No,Automated
QC10060,WH-203,PID8971,Electronics,2025-12-06,Cosmetic Defect,Low,139,1,Fail,No,Automated
QC10061,WH-101,PID7173,Electronics,2025-11-02,Packaging Damage,Low,42,3,Fail,No,Automated
QC10062,WH-305,PID7687,Sports,2025-12-18,Label Error,Medium,71,5,Fail,No,Senior
QC10063,WH-101,PID7495,Home,2025-11-08,Missing Parts,Medium,196,10,Fail,No,Junior
QC10064,WH-512,PID7669,Sports,2025-09-11,Label Error,Low,51,1,Fail,No,Senior
QC10065,WH-305,PID5351,Home,2026-01-17,Cosmetic Defect,Low,47,1,Fail,No,Junior
QC10066,WH-410,PID4773,Home,2026-01-12,Barcode Issue,Medium,48,2,Fail,No,Senior
QC10067,WH-305,PID2619,Beauty,2026-02-28,Barcode Issue,Low,162,1,Fail,No,Junior
QC10068,WH-203,PID5470,Sports,2025-09-22,Label Error,Medium,24,3,Fail,No,Junior
QC10069,WH-203,PID5013,Beauty,2025-09-12,Functional Failure,Medium,83,7,Fail,No,Senior
QC10070,WH-512,PID7994,Sports,2026-02-14,Missing Parts,Medium,38,10,Fail,No,Junior
QC10071,WH-410,PID3882,Clothing,2025-10-12,Packaging Damage,Medium,40,3,Fail,No,Junior
QC10072,WH-410,PID8375,Beauty,2025-10-14,Packaging Damage,Low,121,2,Fail,No,Automated
QC10073,WH-410,PID4044,Home,2025-10-29,Cosmetic Defect,Low,84,3,Fail,No,Junior
QC10074,WH-101,PID7166,Home,2026-01-03,Barcode Issue,Medium,23,10,Fail,No,Junior
QC10075,WH-512,PID1125,Home,2025-11-11,Missing Parts,Low,59,3,Fail,No,Senior
QC10076,WH-101,PID8244,Home,2025-12-28,Missing Parts,Medium,157,8,Fail,No,Junior
QC10077,WH-305,PID4742,Electronics,2025-12-05,Wrong Item,Low,102,0,Pass,No,Junior
QC10078,WH-305,PID8844,Clothing,2025-12-09,Functional Failure,Low,125,0,Pass,No,Automated
QC10079,WH-512,PID2159,Sports,2025-10-17,Barcode Issue,Low,96,0,Pass,No,Senior
QC10080,WH-512,PID7067,Clothing,2025-11-01,Label Error,Medium,33,7,Fail,No,Senior
QC10081,WH-203,PID3416,Home,2025-12-09,Label Error,High,25,23,Fail,Yes,Junior
QC10082,WH-410,PID3843,Beauty,2026-01-01,Wrong Item,Low,46,2,Fail,No,Senior
QC10083,WH-203,PID2349,Home,2025-12-10,Barcode Issue,Low,54,0,Pass,No,Senior
QC10084,WH-512,PID6521,Clothing,2026-01-26,Wrong Item,Low,43,1,Fail,No,Automated
QC10085,WH-203,PID6348,Sports,2026-01-07,Wrong Item,Low,133,2,Fail,No,Automated
QC10086,WH-305,PID6284,Electronics,2025-09-05,Missing Parts,Low,65,0,Pass,No,Senior
QC10087,WH-512,PID2572,Clothing,2026-01-10,Packaging Damage,Medium,128,3,Fail,No,Senior
QC10088,WH-101,PID6880,Home,2025-10-09,Packaging Damage,Low,59,0,Pass,No,Automated
QC10089,WH-512,PID2651,Beauty,2025-12-26,Barcode Issue,Low,178,1,Fail,No,Junior
QC10090,WH-305,PID6414,Clothing,2025-09-14,Functional Failure,Low,170,2,Fail,No,Senior
QC10091,WH-203,PID2939,Sports,2025-10-01,Missing Parts,Medium,116,4,Fail,No,Senior
QC10092,WH-203,PID9970,Home,2025-12-03,Cosmetic Defect,Medium,47,5,Fail,No,Senior
QC10093,WH-410,PID4878,Home,2026-02-02,Missing Parts,Low,191,0,Pass,No,Junior
QC10094,WH-203,PID3725,Beauty,2025-10-07,Wrong Item,Low,119,1,Fail,No,Senior
QC10095,WH-410,PID7867,Sports,2026-01-14,Functional Failure,Medium,184,3,Fail,No,Junior
QC10096,WH-512,PID6605,Sports,2026-02-06,Label Error,Medium,139,2,Fail,No,Automated
QC10097,WH-203,PID9539,Clothing,2026-01-30,Barcode Issue,Low,42,3,Fail,No,Junior
QC10098,WH-305,PID5563,Sports,2025-10-03,Missing Parts,Medium,72,3,Fail,No,Senior
QC10099,WH-101,PID4700,Electronics,2025-11-23,Missing Parts,Low,185,1,Fail,No,Automated
QC10100,WH-101,PID2776,Clothing,2026-02-01,Missing Parts,Low,138,2,Fail,No,Junior
QC10101,WH-203,PID9729,Home,2026-01-09,Cosmetic Defect,High,82,8,Fail,Yes,Automated
QC10102,WH-203,PID1745,Beauty,2025-11-14,Barcode Issue,Low,62,0,Pass,No,Senior
QC10103,WH-305,PID6500,Electronics,2025-12-08,Label Error,Low,190,1,Fail,No,Junior
QC10104,WH-512,PID2319,Sports,2026-02-09,Label Error,Low,85,1,Fail,No,Junior
QC10105,WH-305,PID6568,Beauty,2026-01-29,Wrong Item,Medium,162,2,Fail,No,Automated
QC10106,WH-203,PID5335,Sports,2026-01-16,Wrong Item,Medium,89,5,Fail,No,Senior
QC10107,WH-410,PID3456,Clothing,2025-10-10,Packaging Damage,Low,77,3,Fail,No,Junior
QC10108,WH-305,PID4223,Sports,2025-09-25,Wrong Item,High,131,12,Fail,Yes,Automated
QC10109,WH-203,PID3753,Beauty,2025-12-02,Missing Parts,High,111,10,Fail,Yes,Junior
QC10110,WH-512,PID2277,Clothing,2025-11-27,Label Error,Medium,51,5,Fail,No,Junior
QC10111,WH-410,PID4270,Sports,2026-01-14,Packaging Damage,Low,145,3,Fail,No,Automated
QC10112,WH-203,PID8277,Clothing,2025-12-15,Label Error,Low,140,0,Pass,No,Automated
QC10113,WH-101,PID4414,Home,2026-01-24,Cosmetic Defect,Medium,193,5,Fail,No,Automated
QC10114,WH-101,PID9531,Home,2026-01-10,Wrong Item,Medium,156,2,Fail,No,Junior
QC10115,WH-512,PID8173,Sports,2025-12-12,Missing Parts,Low,88,0,Pass,No,Automated
QC10116,WH-101,PID8117,Clothing,2025-12-28,Cosmetic Defect,Medium,12,7,Fail,No,Junior
QC10117,WH-305,PID8249,Beauty,2026-02-18,Wrong Item,Low,107,1,Fail,No,Senior
QC10118,WH-305,PID9565,Beauty,2025-11-24,Label Error,Low,91,1,Fail,No,Senior
QC10119,WH-410,PID3634,Sports,2026-02-09,Label Error,Low,106,2,Fail,No,Junior
QC10120,WH-305,PID4074,Beauty,2026-02-11,Functional Failure,Low,44,1,Fail,No,Automated
QC10121,WH-512,PID5958,Beauty,2026-02-25,Wrong Item,Medium,19,9,Fail,No,Junior
QC10122,WH-305,PID6226,Home,2026-02-22,Cosmetic Defect,Low,193,0,Pass,No,Senior
QC10123,WH-305,PID9901,Sports,2025-10-14,Cosmetic Defect,Low,29,1,Fail,No,Senior
QC10124,WH-410,PID3789,Clothing,2026-01-23,Barcode Issue,Medium,44,4,Fail,No,Automated
QC10125,WH-101,PID3034,Sports,2025-09-27,Packaging Damage,Low,52,2,Fail,No,Automated
QC10126,WH-203,PID8851,Beauty,2025-12-16,Cosmetic Defect,Low,23,3,Fail,No,Automated
QC10127,WH-101,PID1657,Home,2026-02-25,Label Error,Low,191,1,Fail,No,Senior
QC10128,WH-203,PID9223,Sports,2025-12-22,Packaging Damage,Low,72,1,Fail,No,Junior
QC10129,WH-410,PID6874,Sports,2026-01-22,Barcode Issue,Medium,70,5,Fail,No,Senior
QC10130,WH-101,PID2914,Beauty,2026-01-06,Wrong Item,Low,160,0,Pass,No,Automated
QC10131,WH-410,PID6780,Home,2025-09-26,Label Error,Low,26,0,Pass,No,Automated
QC10132,WH-410,PID1529,Clothing,2025-11-30,Wrong Item,Low,146,0,Pass,No,Junior
QC10133,WH-101,PID9009,Sports,2025-11-04,Functional Failure,Low,27,1,Fail,No,Junior
QC10134,WH-305,PID3556,Electronics,2026-02-18,Packaging Damage,Low,125,0,Pass,No,Junior
QC10135,WH-305,PID3644,Clothing,2026-01-11,Packaging Damage,Low,114,2,Fail,No,Automated
QC10136,WH-512,PID5319,Sports,2025-12-23,Cosmetic Defect,High,57,8,Fail,Yes,Automated
QC10137,WH-512,PID8854,Electronics,2026-02-09,Missing Parts,Low,64,0,Pass,No,Senior
QC10138,WH-305,PID2850,Beauty,2025-12-11,Missing Parts,Medium,103,2,Fail,No,Junior
QC10139,WH-101,PID2687,Beauty,2026-01-04,Barcode Issue,Low,126,1,Fail,No,Junior
QC10140,WH-101,PID4006,Sports,2025-11-28,Functional Failure,Medium,181,9,Fail,No,Senior
QC10141,WH-512,PID4801,Electronics,2025-11-12,Missing Parts,High,84,14,Fail,Yes,Junior
QC10142,WH-101,PID2183,Beauty,2025-11-30,Barcode Issue,Low,78,0,Pass,No,Automated
QC10143,WH-101,PID4677,Beauty,2025-09-04,Label Error,Low,113,0,Pass,No,Senior
QC10144,WH-101,PID2596,Home,2025-10-22,Cosmetic Defect,Medium,198,7,Fail,No,Junior
QC10145,WH-305,PID4912,Sports,2025-11-26,Packaging Damage,Low,166,3,Fail,No,Junior
QC10146,WH-305,PID9363,Beauty,2026-01-22,Missing Parts,High,26,18,Fail,Yes,Automated
QC10147,WH-410,PID7748,Electronics,2025-12-07,Missing Parts,High,112,18,Fail,Yes,Automated
QC10148,WH-101,PID1394,Beauty,2025-10-10,Functional Failure,Medium,16,2,Fail,No,Automated
QC10149,WH-512,PID3772,Clothing,2025-09-29,Cosmetic Defect,Low,76,1,Fail,No,Automated
QC10150,WH-101,PID8732,Sports,2025-09-26,Barcode Issue,High,200,21,Fail,Yes,Senior
QC10151,WH-305,PID1811,Beauty,2025-12-09,Missing Parts,Medium,64,4,Fail,No,Junior
QC10152,WH-410,PID2480,Home,2025-09-23,Missing Parts,High,200,22,Fail,Yes,Automated
QC10153,WH-512,PID5416,Beauty,2026-01-26,Missing Parts,Medium,48,3,Fail,No,Automated
QC10154,WH-512,PID5923,Electronics,2025-09-10,Missing Parts,Low,76,2,Fail,No,Senior
QC10155,WH-203,PID8093,Beauty,2025-11-13,Wrong Item,Low,44,2,Fail,No,Automated
QC10156,WH-101,PID9148,Electronics,2026-02-12,Wrong Item,Low,145,3,Fail,No,Senior
QC10157,WH-203,PID7147,Home,2026-02-05,Packaging Damage,Low,67,2,Fail,No,Junior
QC10158,WH-305,PID8375,Home,2025-12-16,Label Error,Low,113,3,Fail,No,Junior
QC10159,WH-305,PID7831,Home,2025-11-09,Packaging Damage,High,180,25,Fail,Yes,Senior
QC10160,WH-410,PID3069,Beauty,2025-10-21,Missing Parts,Low,35,3,Fail,No,Automated
QC10161,WH-101,PID3237,Electronics,2026-02-18,Packaging Damage,Medium,86,10,Fail,No,Senior
QC10162,WH-512,PID6112,Home,2026-01-04,Functional Failure,High,129,6,Fail,Yes,Senior
QC10163,WH-512,PID2648,Home,2025-11-03,Cosmetic Defect,Low,65,0,Pass,No,Junior
QC10164,WH-203,PID6047,Sports,2026-01-25,Wrong Item,Low,112,2,Fail,No,Automated
QC10165,WH-101,PID2956,Home,2025-09-08,Barcode Issue,Low,52,1,Fail,No,Junior
QC10166,WH-305,PID3394,Electronics,2025-10-11,Missing Parts,Low,175,1,Fail,No,Junior
QC10167,WH-512,PID7476,Sports,2025-12-12,Label Error,Low,19,0,Pass,No,Automated
QC10168,WH-101,PID1454,Clothing,2025-10-18,Missing Parts,Medium,110,7,Fail,No,Junior
QC10169,WH-410,PID5608,Home,2026-01-14,Wrong Item,Medium,166,7,Fail,No,Senior
QC10170,WH-203,PID2043,Sports,2025-10-21,Missing Parts,Low,119,3,Fail,No,Junior
QC10171,WH-305,PID6400,Clothing,2026-01-18,Functional Failure,Medium,148,9,Fail,No,Automated
QC10172,WH-512,PID1674,Beauty,2025-12-02,Label Error,Medium,30,9,Fail,No,Junior
QC10173,WH-512,PID3741,Beauty,2025-10-05,Functional Failure,Low,27,2,Fail,No,Automated
QC10174,WH-203,PID2425,Beauty,2026-02-01,Cosmetic Defect,Low,173,0,Pass,No,Senior
QC10175,WH-305,PID9172,Beauty,2025-12-18,Label Error,Medium,47,8,Fail,No,Automated
QC10176,WH-203,PID9712,Home,2026-02-28,Packaging Damage,Low,92,0,Pass,No,Senior
QC10177,WH-410,PID5722,Clothing,2026-01-12,Functional Failure,Low,71,3,Fail,No,Automated
QC10178,WH-203,PID3987,Sports,2025-12-12,Functional Failure,Low,152,3,Fail,No,Automated
QC10179,WH-203,PID5375,Clothing,2025-12-22,Label Error,Medium,141,5,Fail,No,Automated
QC10180,WH-512,PID6626,Beauty,2026-01-28,Functional Failure,Medium,124,10,Fail,No,Automated
QC10181,WH-512,PID4905,Electronics,2025-11-20,Cosmetic Defect,Medium,116,5,Fail,No,Automated
QC10182,WH-512,PID4458,Electronics,2025-12-26,Functional Failure,Low,37,2,Fail,No,Junior
QC10183,WH-203,PID3113,Home,2025-09-19,Wrong Item,Low,24,2,Fail,No,Automated
QC10184,WH-410,PID6485,Electronics,2025-11-23,Barcode Issue,Low,73,0,Pass,No,Junior
QC10185,WH-203,PID2952,Clothing,2026-02-15,Packaging Damage,Low,167,3,Fail,No,Automated
QC10186,WH-203,PID8782,Clothing,2026-02-13,Missing Parts,Medium,74,8,Fail,No,Automated
QC10187,WH-410,PID6821,Beauty,2025-12-15,Cosmetic Defect,High,180,9,Fail,Yes,Junior
QC10188,WH-305,PID5613,Beauty,2025-09-07,Wrong Item,Medium,43,8,Fail,No,Senior
QC10189,WH-410,PID8576,Beauty,2025-10-16,Label Error,Low,66,2,Fail,No,Senior
QC10190,WH-101,PID7431,Beauty,2025-10-30,Packaging Damage,Low,193,2,Fail,No,Senior
QC10191,WH-410,PID7420,Sports,2025-12-19,Missing Parts,Low,91,2,Fail,No,Junior
QC10192,WH-101,PID4212,Sports,2026-01-27,Wrong Item,Medium,168,2,Fail,No,Senior
QC10193,WH-410,PID2552,Beauty,2026-01-01,Packaging Damage,High,100,10,Fail,Yes,Senior
QC10194,WH-203,PID9106,Electronics,2025-12-05,Cosmetic Defect,Low,126,3,Fail,No,Senior
QC10195,WH-101,PID4678,Beauty,2025-10-26,Label Error,Medium,127,10,Fail,No,Automated
QC10196,WH-101,PID7430,Home,2026-01-02,Label Error,Low,30,2,Fail,No,Automated
QC10197,WH-410,PID1304,Beauty,2025-10-22,Functional Failure,Medium,27,5,Fail,No,Senior
QC10198,WH-203,PID9216,Clothing,2025-09-20,Missing Parts,Low,96,1,Fail,No,Junior
QC10199,WH-101,PID2545,Clothing,2025-10-29,Functional Failure,Low,139,2,Fail,No,Automated
QC10200,WH-512,PID3139,Clothing,2025-11-15,Missing Parts,Low,129,2,Fail,No,Senior
QC10201,WH-203,PID1642,Home,2026-01-29,Cosmetic Defect,Medium,40,2,Fail,No,Senior
QC10202,WH-101,PID6529,Sports,2025-11-24,Wrong Item,Medium,163,9,Fail,No,Automated
QC10203,WH-410,PID2343,Home,2025-12-24,Barcode Issue,Medium,200,10,Fail,No,Senior
QC10204,WH-512,PID8674,Clothing,2025-12-08,Label Error,Low,148,2,Fail,No,Senior
QC10205,WH-203,PID8089,Electronics,2025-11-13,Wrong Item,Low,19,0,Pass,No,Automated
QC10206,WH-101,PID1886,Sports,2026-01-19,Barcode Issue,Low,34,0,Pass,No,Junior
QC10207,WH-101,PID4543,Electronics,2025-10-25,Functional Failure,Low,19,0,Pass,No,Automated
QC10208,WH-203,PID7141,Beauty,2025-11-16,Cosmetic Defect,Medium,127,7,Fail,No,Senior
QC10209,WH-410,PID3561,Home,2025-09-27,Cosmetic Defect,Medium,172,7,Fail,No,Senior
QC10210,WH-305,PID8227,Clothing,2025-12-16,Functional Failure,Low,14,2,Fail,No,Automated
QC10211,WH-410,PID5083,Beauty,2026-01-02,Barcode Issue,Medium,136,10,Fail,No,Senior
QC10212,WH-512,PID5077,Home,2025-12-17,Label Error,Low,127,0,Pass,No,Senior
QC10213,WH-203,PID4551,Clothing,2025-09-19,Functional Failure,Low,78,1,Fail,No,Senior
QC10214,WH-101,PID3324,Home,2025-09-22,Missing Parts,Low,24,3,Fail,No,Junior
QC10215,WH-410,PID7128,Beauty,2026-01-08,Functional Failure,Low,14,1,Fail,No,Senior
QC10216,WH-410,PID9532,Beauty,2025-11-14,Packaging Damage,Medium,173,6,Fail,No,Junior
QC10217,WH-203,PID9297,Beauty,2025-12-17,Label Error,Low,18,0,Pass,No,Senior
QC10218,WH-101,PID6403,Beauty,2026-01-24,Missing Parts,Low,82,3,Fail,No,Automated
QC10219,WH-101,PID3429,Home,2025-11-02,Missing Parts,Medium,73,5,Fail,No,Automated
QC10220,WH-512,PID6811,Home,2025-12-26,Missing Parts,Low,145,3,Fail,No,Senior
QC10221,WH-512,PID6100,Sports,2025-11-08,Barcode Issue,Low,62,3,Fail,No,Senior
QC10222,WH-305,PID1010,Electronics,2025-11-17,Packaging Damage,Medium,185,7,Fail,No,Junior
QC10223,WH-410,PID9585,Home,2025-11-20,Cosmetic Defect,Low,11,0,Pass,No,Senior
QC10224,WH-512,PID8736,Beauty,2025-10-02,Functional Failure,Medium,155,6,Fail,No,Junior
QC10225,WH-305,PID9543,Beauty,2025-10-06,Wrong Item,Low,187,3,Fail,No,Junior
QC10226,WH-101,PID1134,Beauty,2025-12-31,Packaging Damage,Medium,18,9,Fail,No,Junior
QC10227,WH-410,PID4440,Sports,2025-10-05,Wrong Item,High,96,5,Fail,Yes,Automated
QC10228,WH-203,PID7123,Sports,2025-09-13,Cosmetic Defect,Low,59,0,Pass,No,Junior
QC10229,WH-410,PID1827,Beauty,2025-11-14,Wrong Item,Medium,144,7,Fail,No,Automated
QC10230,WH-101,PID7582,Electronics,2025-12-25,Cosmetic Defect,Medium,39,3,Fail,No,Automated
QC10231,WH-101,PID6651,Sports,2025-12-13,Label Error,Low,93,0,Pass,No,Junior
QC10232,WH-203,PID2105,Clothing,2025-10-15,Wrong Item,Medium,126,3,Fail,No,Automated
QC10233,WH-101,PID1695,Home,2025-11-16,Packaging Damage,Low,90,0,Pass,No,Junior
QC10234,WH-512,PID4292,Sports,2026-01-05,Barcode Issue,Low,170,1,Fail,No,Junior
QC10235,WH-203,PID4966,Sports,2025-09-30,Cosmetic Defect,Medium,29,6,Fail,No,Senior
QC10236,WH-512,PID3784,Electronics,2026-02-24,Barcode Issue,Low,51,0,Pass,No,Senior
QC10237,WH-101,PID3350,Electronics,2025-09-09,Label Error,Low,117,0,Pass,No,Automated
QC10238,WH-203,PID3821,Home,2025-11-25,Functional Failure,Medium,99,9,Fail,No,Automated
QC10239,WH-203,PID2800,Electronics,2025-09-03,Label Error,Medium,106,4,Fail,No,Junior
QC10240,WH-203,PID7290,Sports,2025-09-25,Packaging Damage,Low,81,2,Fail,No,Senior
QC10241,WH-512,PID6878,Home,2025-09-10,Missing Parts,High,16,15,Fail,Yes,Senior
QC10242,WH-203,PID9039,Clothing,2026-02-17,Functional Failure,Medium,185,6,Fail,No,Automated
QC10243,WH-512,PID9288,Electronics,2025-09-06,Cosmetic Defect,Low,19,0,Pass,No,Automated
QC10244,WH-101,PID5632,Home,2025-09-30,Label Error,Medium,185,8,Fail,No,Junior
QC10245,WH-101,PID7079,Clothing,2026-02-18,Packaging Damage,Low,17,2,Fail,No,Junior
QC10246,WH-305,PID7454,Sports,2025-12-23,Label Error,Medium,183,10,Fail,No,Automated
QC10247,WH-203,PID6412,Electronics,2026-01-27,Missing Parts,Low,124,0,Pass,No,Automated
QC10248,WH-512,PID5260,Home,2025-11-29,Missing Parts,Medium,145,4,Fail,No,Senior
QC10249,WH-203,PID9542,Beauty,2026-02-05,Cosmetic Defect,Medium,81,8,Fail,No,Junior
QC10250,WH-101,PID1339,Home,2025-11-27,Packaging Damage,Low,20,2,Fail,No,Automated
QC10251,WH-410,PID9320,Home,2026-01-08,Wrong Item,Low,127,3,Fail,No,Automated
QC10252,WH-203,PID2519,Clothing,2026-01-22,Label Error,Medium,182,3,Fail,No,Senior
QC10253,WH-305,PID3477,Electronics,2025-10-10,Cosmetic Defect,Low,172,3,Fail,No,Senior
QC10254,WH-410,PID5363,Clothing,2025-09-15,Packaging Damage,Low,152,2,Fail,No,Junior
QC10255,WH-101,PID2873,Electronics,2025-11-17,Wrong Item,Low,194,2,Fail,No,Senior
QC10256,WH-305,PID3912,Electronics,2025-12-20,Label Error,Medium,167,7,Fail,No,Senior
QC10257,WH-410,PID8570,Electronics,2025-10-21,Packaging Damage,Low,105,3,Fail,No,Senior
QC10258,WH-203,PID8605,Beauty,2026-02-06,Missing Parts,High,157,5,Fail,Yes,Automated
QC10259,WH-512,PID5646,Sports,2025-12-26,Missing Parts,Low,103,0,Pass,No,Senior
QC10260,WH-305,PID8132,Beauty,2025-09-21,Missing Parts,Low,100,0,Pass,No,Senior
QC10261,WH-101,PID9454,Clothing,2025-09-29,Label Error,Low,89,2,Fail,No,Senior
QC10262,WH-101,PID5470,Sports,2026-01-12,Cosmetic Defect,Medium,145,4,Fail,No,Senior
QC10263,WH-203,PID6584,Clothing,2025-11-24,Label Error,Low,115,3,Fail,No,Senior
QC10264,WH-512,PID7640,Home,2025-11-06,Barcode Issue,Low,199,2,Fail,No,Junior
QC10265,WH-410,PID5474,Electronics,2026-01-07,Cosmetic Defect,Low,49,1,Fail,No,Automated
QC10266,WH-305,PID4983,Home,2025-10-12,Functional Failure,High,161,11,Fail,Yes,Junior
QC10267,WH-305,PID8892,Clothing,2025-11-17,Packaging Damage,Low,156,2,Fail,No,Senior
QC10268,WH-101,PID4206,Clothing,2025-10-24,Label Error,Low,45,0,Pass,No,Junior
QC10269,WH-101,PID7565,Clothing,2025-10-02,Label Error,Medium,163,7,Fail,No,Senior
QC10270,WH-512,PID8991,Clothing,2025-12-25,Packaging Damage,Low,67,1,Fail,No,Senior
